_id,barcode,brandcode,categorycode,topbrand,brandname,cpgid
5fd3acb6be37ce0d9386bb40,511111818182,TEST BRANDCODE @1607707830095,BAKING,False,test brand @1607707830095,5fd3acb5be37ce0d9386bb3e
5bd200a6965c7d66d92731ea,511111504627,COTTONELLE,,False,Cottonelle,550b2565e4b001d5e9e4146f
585a9675e4b03e62d1ce0e7f,511111301691,IZZE,,False,Izze,5332f5fbe4b03c9a25efd0ba
5887a17ee4b02187f85cdad3,511111101178,MIO,,False,Mio,559c2234e4b06aca36af13c6
5332f765e4b03c9a25efd11f,511111503699,,,False,Glaceau vitaminwater,5332f5ebe4b03c9a25efd0a8
5d66d94d6d5f3b6188d4f04b,511111505365,511111505365,,False,Magnolia Journal Magazine,5d5d4fd16d5f3b23d1bc7905
5d66d2fd6d5f3b6188d4f045,511111405252,QUILTING SPECIAL EDITION,,False,American Patchwork & Quilting Magazine,5d5d4fd16d5f3b23d1bc7905
5332f5f3e4b03c9a25efd0ad,511111104025,,,False,Gree Giant,5332f5f3e4b03c9a25efd0ae
5fa1c567be37ce402c4618f1,511111317203,TEST BRANDCODE @1604437351617,BAKING,False,test brand @1604437351617,5fa1c567be37ce402c4618ef
5a5d1e76e4b0db471c2d0425,511111900337,HERMAN,,False,Herman Joseph's,5332f709e4b03c9a25efd0f1
55b630d9e4b0d8e685c1421f,511111302629,,,False,Sundrop,55b62995e4b0d8e685c14213
5d602d9d6d5f3b23d1bc7907,511111704935,KEVITA,,False,Kevita Sparkling Drinks,5332f5fbe4b03c9a25efd0ba
57ebbf75e4b0ac389136a32f,511111902188,DELIMEX,,False,Delimex,559c2234e4b06aca36af13c6
5d2f68d96d5f3b107e208da4,511111004844,THE RIGHT TO SHOWER,,False,THE RIGHT TO SHOWER,5332f5f6e4b03c9a25efd0b4
592486bde410d61fcea3d124,511111100904,CARESS,,False,CARESS,5332f5f6e4b03c9a25efd0b4
5f16f536be37ce2b30061e27,511111115083,TEST BRANDCODE @1595340086044,BAKING,False,test brand @1595340086044,5f16f535be37ce2b30061e24
5332f6ede4b03c9a25efd0e5,511111603870,,,False,Blue Bunny,5332f6ede4b03c9a25efd0e6
5332fa05e4b03c9a25efd1d6,511111103141,,,False,Krave,5332f5f2e4b03c9a25efd0aa
5f3d6f44be37ce4ddbb1bb3e,511111315513,TEST BRANDCODE @1597861700968,BAKING,False,test brand @1597861700968,5f3d6f44be37ce4ddbb1bb3a
5c76d3cd95144c5375687b4f,511111106876,TEST BRAND CODE,,True,DASH-2249 Brand1,5c76d20595144c5375687b4e
5f3ff223be37ce1c81aa1e11,511111115649,TEST BRANDCODE @1598026275245,CANDY_AND_SWEETS,False,test brand @1598026275245,5332fa12e4b03c9a25efd1e7
5a8c36dbe4b0ccf165fac9e9,511111204206,SWANSON,,False,Swanson,5a734034e4b0d58f376be874
55b630e1e4b0d8e685c14220,511111102618,,,False,A&W Rootbeer,55b62995e4b0d8e685c14213
5f3ff222be37ce1c81aa1e0f,511111415626,TEST BRANDCODE @1598026274668,BAKING,False,test brand @1598026274668,5f3ff222be37ce1c81aa1e0c
5c76db7295144c5375687b50,511111306887,DASH-2249 1,,False,DASH-2249 Brand2,5c76d20595144c5375687b4e
5da609991dda2c3e1416ae90,511111805854,511111805854,,False,ONE A DAY® WOMENS,53e10d6368abd3c7065097cc
5afda575e4b0c11cfecd49f9,511111104537,KETTLE BRAND,,False,Kettle Brand,5a734034e4b0d58f376be874
5ab154dde4b0915382df761f,511111404392,CAMPBELLS SOUP AT HAND ,,False,Campbell's Soup at Hand,5a734034e4b0d58f376be874
5f3e9195be37ce5a0e01b960,511111615583,,BAKING,False,test brand @1597936021514,5f3e9195be37ce5a0e01b95f
5fb82faebe37ce522e165ce9,511111117841,RAINBO,GROCERY,False,Rainbo,5fb6b608be37ce522e165cb9
57e58157e4b0ac389136a30a,511111602279,CRISPIN,,False,Crispin Cider Company,5332f709e4b03c9a25efd0f1
5fd3acb6be37ce0d9386bb41,511111318194,TEST BRANDCODE @1607707830137,BAKING,False,test brand @1607707830137,5fd3acb5be37ce0d9386bb3e
5e90a545ee7f2d70340f40d7,511111114413,CLARITIN®,HEALTHY_AND_WELLNESS,False,Claritin®,5d9b4f591dda2c6225a284aa
5daf5e94a60b87376833e362,511111706045,COOKIE CRISP,,False,Cookie Crisp™,5332f5f3e4b03c9a25efd0ae
5fb2852cbe37ce522e165caf,511111717317,TEST BRANDCODE @1605535020442,BAKING,False,test brand @1605535020441,5fb2852cbe37ce522e165cae
5332f743e4b03c9a25efd109,511111903789,,,False,Keebler,5332f5f2e4b03c9a25efd0aa
5fa98944be37ce239d107100,511111417262,TEST BRANDCODE @1604946244750,BAKING,False,test brand @1604946244750,5fa98944be37ce239d1070ff
5afda65de4b0c11cfecd49fb,511111004561,SNYDERS OF HANOVER,,False,SNYDERS OF HANOVER,5a734034e4b0d58f376be874
5332fa7ee4b03c9a25efd230,511111702894,,,False,Powerade,5332f5ebe4b03c9a25efd0a8
57ebbfafe4b0ac389136a332,511111002154,GOOD SEASONS,,False,Good Seasons,559c2234e4b06aca36af13c6
5f493682be37ce52f8314fce,511111115922,TEST BRANDCODE @1598633602279,BAKING,False,test brand @1598633602279,5f493682be37ce52f8314fcb
57ace91ae4b057c992a316ac,511111602552,,,False,Pizza Pizza Pizza,57ace90fe4b057c992a316ab
5a5d2431e4b06ba572cf24a1,511111200246,REVOLVER,,False,Revolver,5332f709e4b03c9a25efd0f1
57e5810ce4b0ac389136a307,511111802280,KEYSTONE LIGHT,,False,Keystone Light,5332f709e4b03c9a25efd0f1
5332f5f2e4b03c9a25efd0ab,511111604037,,,False,Our Family,5332f5f3e4b03c9a25efd0ac
5db9f9cca60b87376833e36b,511111806226,BETTY CROCKER FRUIT ROLL UPS,,False,Fruit Roll-Ups™,5332f5f3e4b03c9a25efd0ae
5fd2a0c0be37ce49eb72c0f4,511111118169,TEST BRANDCODE @1607639232356,CANDY_AND_SWEETS,False,test brand @1607639232356,5332fa12e4b03c9a25efd1e7
5aa1b41de4b086c8aad5e096,511111304265,MOMOFUKU,,False,MOMOFUKU Sauce,559c2234e4b06aca36af13c6
592486bee410d61fcea3d136,511111500735,POPSICLE,,False,POPSICLE,5332f5f6e4b03c9a25efd0b4
5332f603e4b03c9a25efd0be,511111103936,MUG Root Beer,,False,Mug Root Beer,5332f5fbe4b03c9a25efd0ba
5afda699e4b0c11cfecd49fd,511111704584,TOMS,,False,Tom's,5a734034e4b0d58f376be874
5fc54c0bbe37ce1911dbb3b5,511111017899,TEST BRANDCODE @1606765579244,BAKING,False,test brand @1606765579244,5fc54c0abe37ce1911dbb3b1
5f358338be37ce443bf9d55b,511111715320,TEST BRANDCODE @1597342520305,BAKING,False,test brand @1597342520305,5f358338be37ce443bf9d557
592486bfe410d61fcea3d137,511111000723,PROMISE,,False,PROMISE,53e10d6368abd3c7065097cc
5a4d2295e4b0d5c3fd86b679,511111200529,OFF THE EATEN PATH,,False,OFF THE EATEN PATH,5332f5fbe4b03c9a25efd0ba
5f628216be37ce78e6e2efaf,511111116684,TEST BRANDCODE @1600291350125,CANDY_AND_SWEETS,False,test brand @1600291350125,5332fa12e4b03c9a25efd1e7
5332f9fce4b03c9a25efd1cd,511111003199,,,False,Honey Smacks,5332f5f2e4b03c9a25efd0aa
5f9770bfbe37ce03d08a2d85,511111117070,TEST BRANDCODE @1603760319758,BAKING,False,test brand @1603760319758,5f9770bfbe37ce03d08a2d83
57ebc293e4b0ac389136a345,511111301974,NANCY'S,,False,Nancy's,559c2234e4b06aca36af13c6
5f513e9ebe37ce21f1287c00,511111816492,,BAKING,False,test brand @1599159966676,5f513e9ebe37ce21f1287bff
5332f7b8e4b03c9a25efd145,511111903413,,,False,Stella Artois,5332f7a7e4b03c9a25efd134
5ab153fee4b0915382df761e,511111704379,CAMPBELLS CHUNKY MAXX,,False,Campbell's Chunky Maxx,5a734034e4b0d58f376be874
5aa1b5b9e4b05a92fc9b1631,511111004288,FOOD NETWORK KITCHEN INSPIRATIONS,,False,FOOD NETWORK KITCHEN INSPIRATIONS,559c2234e4b06aca36af13c6
5f3e9172be37ce5a0e01b954,511111215547,TEST BRANDCODE @1597935986390,BAKING,False,test brand @1597935986390,5f3e9172be37ce5a0e01b952
5f4936ddbe37ce52f8314fdc,511111015970,TEST BRANDCODE @1598633693744,BAKING,False,test brand @1598633693744,5f4936ddbe37ce52f8314fda
57c0829ce4b0718ff5fcb03a,511111002437,,,False,Victoria,5332f7a7e4b03c9a25efd134
5a4d244ae4b0bcb2c74ea77f,511111500506,SABRITAS,,False,SABRITAS,5332f5fbe4b03c9a25efd0ba
57ebbfa1e4b0ac389136a330,511111702177,GEVALIA KAFFE,,False,Gevalia,559c2234e4b06aca36af13c6
5f43faabbe37ce3ef3fd3715,511111115717,TEST BRANDCODE @1598290603501,BAKING,False,test brand @1598290603501,5f43faabbe37ce3ef3fd3714
59d550f4e4b090070b009534,511111600633,O THAT'S GOOD,,False,"O, That's Good!",559c2234e4b06aca36af13c6
585a9645e4b03e62d1ce0e79,511111801757,CHESTER'S,,True,Chester's,5332f5fbe4b03c9a25efd0ba
585a968ee4b03e62d1ce0e82,511111101666,MISS VICKIE'S,,False,Miss Vickies,5332f5fbe4b03c9a25efd0ba
5d2f6b82a3a01810a2174aed,511111704867,SIR KENSINGTON'S,,False,SIR KENSINGTON'S,5332f5f6e4b03c9a25efd0b4
5fa98944be37ce239d1070fe,511111217251,,BAKING,False,test brand @1604946244133,5fa98944be37ce239d1070fd
5332f9f2e4b03c9a25efd1c8,511111803232,,,False,Crispix,5332f5f2e4b03c9a25efd0aa
55a41b55e4b0d0a65b3692ef,511111502708,,,False,NessAlla,55a41b4be4b0d0a65b3692ee
5887a372e4b02187f85cdad9,511111001119,DORITOS,,True,Doritos,5332f5fbe4b03c9a25efd0ba
57ed0697e4b072ac2294b8f2,511111101895,A.1.,,True,A.1.,559c2234e4b06aca36af13c6
55b630c2e4b0d8e685c1421d,511111002642,,,False,RC Cola,55b62995e4b0d8e685c14213
5332f605e4b03c9a25efd0c0,511111403913,,,False,Amp,5332f5fbe4b03c9a25efd0ba
5f43faabbe37ce3ef3fd3716,511111315728,TEST BRANDCODE @1598290603587,BAKING,False,test brand @1598290603587,5f43faabbe37ce3ef3fd3714
5d66de49a3a018093ab3472a,511111505433,LOOZA JUICES,,False,Looza Fruit Juices,5332f5fbe4b03c9a25efd0ba
5da605dc1dda2c3e1416ae83,511111005582,ALEVE,,False,Aleve®,5d9b4f591dda2c6225a284aa
5e3876bfee7f2d697e835bd3,511111613961,SOFT-SHEEN CARSON - HAIR COLOR,,False,Soft-Sheen Carson - Hair Color,5e28b81cee7f2d697e835bcd
5fa98945be37ce239d107104,511111217305,TEST BRANDCODE @1604946245499,CANDY_AND_SWEETS,False,test brand @1604946245498,5332fa12e4b03c9a25efd1e7
57ebc11fe4b0ac389136a33a,511111802075,,,False,Kraft Caramels,559c2234e4b06aca36af13c6
5f494c5f04db711dd8fe87e5,511111716150,TEST BRANDCODE @1598639199117,BAKING,False,test brand @1598639199117,5f494c5d04db711dd8fe87e2
5bd201a990fa074576779a19,511111104698,PULL UPS,,False,Pull-Ups,550b2565e4b001d5e9e4146f
5fb2852cbe37ce522e165cb1,511111417330,TEST BRANDCODE @1605535020629,BAKING,False,test brand @1605535020629,5fb2852cbe37ce522e165cae
5332f60ce4b03c9a25efd0c3,511111303893,BRISK,,False,Brisk Iced Tea,5332f5fbe4b03c9a25efd0ba
5a7e0604e4b0aedb3b84afd3,511111504139,CHRISXYZ,,False,Chris Brand XYZ,55b62995e4b0d8e685c14213
5332f9f2e4b03c9a25efd1c7,511111003243,,,False,All-Bran,5332f5f2e4b03c9a25efd0aa
57ebbd44e4b0ac389136a32d,511111002208,BULL'S-EYE,,False,Bull's Eye,559c2234e4b06aca36af13c6
592486bee410d61fcea3d12f,511111600794,KLONDIKE,,False,KLONDIKE,5332f5f6e4b03c9a25efd0b4
592486bee410d61fcea3d12a,511111600848,FRUTTARE,,False,FRUTTARE,53e10d6368abd3c7065097cc
5da60576a60b87376833e349,511111305569,511111305569,,False,AFRIN® NO DRIP PUMP MISTS,53e10d6368abd3c7065097cc
5332f5f5e4b03c9a25efd0b0,511111404002,,,False,Betty Crocker,5332f5f3e4b03c9a25efd0ae
580dff9fe4b0f32b2de21382,511111701859,KNOX,,False,Knox Gelatin,559c2234e4b06aca36af13c6
5da608131dda2c3e1416ae8a,511111505716,511111505716,,False,Claritin® ADULTS,53e10d6368abd3c7065097cc
588b9f8fe4b02187f85cdada,511111501107,PLANTERS,,False,Planters,559c2234e4b06aca36af13c6
592486bde410d61fcea3d127,511111800873,DEGREE,PERSONAL_CARE,False,DEGREE,5332f5f6e4b03c9a25efd0b4
5a4d23dae4b0bcb2c74ea77e,511111000518,CALEB'S KOLA,,False,Caleb's Kola,5332f5fbe4b03c9a25efd0ba
5d66dc946d5f3b6188d4f04e,511111305408,LEMON LEMON,,False,Lemon Lemon Sparkling Drinks,5332f5fbe4b03c9a25efd0ba
592486bfe410d61fcea3d140,511111300656,VASELINE,PERSONAL_CARE,False,VASELINE,5332f5f6e4b03c9a25efd0b4
5d658ff3a3a018514994f432,511111005216,511111005216,,False,Cooking Light Magazine,53e10d6368abd3c7065097cc
5fcda494be37ce688e08b0cc,511111817932,TEST BRANDCODE @1607312532178,BAKING,False,test brand @1607312532178,5fcda494be37ce688e08b0cb
5ef4f667be37ce2efae842ea,511111715047,PINESOL,CLEANING_AND_HOME_IMPROVEMENT,False,Pinesol,5eebc5412455c97a877ef382
55b6308ee4b0d8e685c1421a,511111202677,,,False,Snapple,55b62995e4b0d8e685c14213
5332f760e4b03c9a25efd11b,511111603719,,,False,Honest Ade,5332f5ebe4b03c9a25efd0a8
5f16f536be37ce2b30061e29,511111215103,TEST BRANDCODE @1595340086791,CANDY_AND_SWEETS,False,test brand @1595340086791,5332fa12e4b03c9a25efd1e7
5d642dbfa3a018514994f42e,511111005148,511111005148,,False,Shape,5d5d4fd16d5f3b23d1bc7905
5e3875d2ee7f2d697e835bce,511111013914,ESSIE,,False,Essie,5e28b81cee7f2d697e835bcd
5332f9f3e4b03c9a25efd1c9,511111303220,,,False,Pop-tarts,5332f5f2e4b03c9a25efd0aa
5c45f91b87ff3552f950f027,511111204923,0987654321,,True,Brand1,5c45f8b087ff3552f950f026
58861c7d4e8d0d20bc42c4d6,511111601449,,,False,Jell-O Refrigerated Pudding & Gelatin,559c2234e4b06aca36af13c6
55b630fde4b0d8e685c14223,511111502586,,,False,Diet Dr. Pepper,55b62995e4b0d8e685c14213
5ab158e8e4b0915382df7622,511111404446,CAMPBELLS WELL YES,,False,Campbell's Well Yes!,5a734034e4b0d58f376be874
5fcda494be37ce688e08b0cf,511111717966,TEST BRANDCODE @1607312532304,BAKING,False,test brand @1607312532304,5fcda494be37ce688e08b0cb
5f3ff222be37ce1c81aa1e0e,511111215615,TEST BRANDCODE @1598026274643,BAKING,False,test brand @1598026274643,5f3ff222be37ce1c81aa1e0c
5f772952be37ce6b592e90d2,511111816775,TEST BRANDCODE @1601644881995,BAKING,False,test brand @1601644881995,5f772951be37ce6b592e90d1
5fa1c568be37ce402c4618f6,511111717249,,BAKING,False,test brand @1604437352935,5fa1c568be37ce402c4618f5
5fb82236be37ce522e165cdf,511111217749,BEEF STEAK,,False,Beef Steak,5fb6b608be37ce522e165cb9
5a02188be4b00d6a5ccb394d,511111300588,POND'S,,False,POND'S,5332f5f6e4b03c9a25efd0b4
5e387617ee7f2d697e835bd0,511111713937,L’OREAL PARIS - COSMETICS,,False,L’Oreal Paris - Cosmetics,5e28b81cee7f2d697e835bcd
57ebc2ace4b0ac389136a346,511111801962,,,False,P3,559c2234e4b06aca36af13c6
5da6094ca60b87376833e357,511111605829,511111605829,,False,ONE A DAY® MENS,53e10d6368abd3c7065097cc
5f16f536be37ce2b30061e28,511111615095,TEST BRANDCODE @1595340086078,BAKING,False,test brand @1595340086078,5f16f535be37ce2b30061e24
5f872b84be37ce66db5dd97a,511111917045,TEST BRANDCODE @1602694020787,CANDY_AND_SWEETS,False,test brand @1602694020787,5332fa12e4b03c9a25efd1e7
585a9726e4b03e62d1ce0e95,511111501497,,,False,Tazo,53e10d6368abd3c7065097cc
5f7ba645be37ce23081c528d,511111516910,TEST BRANDCODE @1601939013649,BAKING,False,test brand @1601939013649,5f7ba644be37ce23081c5289
5332f7d3e4b03c9a25efd14e,511111803393,,,False,Cheez-It,5332f5f2e4b03c9a25efd0aa
5f504acabe37ce0b793c9418,511111316480,,BAKING,False,test brand @1599097546963,5f504acabe37ce0b793c9417
5afda3a8e4b03bf01c2a2967,511111604525,SNACK FACTORY,,False,Snack Factory,5a734034e4b0d58f376be874
57c08294e4b0718ff5fcb039,511111202448,,,False,Jupiler,5332f7a7e4b03c9a25efd134
5332f77ce4b03c9a25efd12a,511111703617,,,False,Gardetto's,5332f5f3e4b03c9a25efd0ae
5332f9ede4b03c9a25efd1c2,511111403289,,,False,Danimals,5332f7ffe4b03c9a25efd16b
58861c7e4e8d0d20bc42c4e2,511111201403,MILLER64,,False,Miller 64,5332f709e4b03c9a25efd0f1
592486bee410d61fcea3d12d,511111700814,I CAN'T BELIEVE IT'S NOT BUTTER!,,False,I CAN'T BELIEVE IT'S NOT BUTTER!,53e10d6368abd3c7065097cc
5da608dfa60b87376833e354,511111805786,511111805786,,False,ONE A DAY® ENERGY ,53e10d6368abd3c7065097cc
5ffe3a87be37ce7aab2d4fd9,511111419532,TEST BRANDCODE @1610496647142,CANDY_AND_SWEETS,False,test brand @1610496647142,5332fa12e4b03c9a25efd1e7
5ffe3a87be37ce7aab2d4fdb,511111619543,,BAKING,False,test brand @1610496647311,5ffe3a87be37ce7aab2d4fda
5ffe3a86be37ce7aab2d4fd7,511111719519,TEST BRANDCODE @1610496646289,BAKING,False,test brand @1610496646289,5ffe3a85be37ce7aab2d4fd4
5fff3a7abe37ce2bb793010e,511111119555,,BAKING,False,test brand @1610562170795,5fff3a7abe37ce2bb793010d
5ffe3a86be37ce7aab2d4fd8,511111919520,TEST BRANDCODE @1610496646345,BAKING,False,test brand @1610496646345,5ffe3a85be37ce7aab2d4fd4
5ffe3a86be37ce7aab2d4fd6,511111219507,TEST BRANDCODE @1610496646232,BAKING,False,test brand @1610496646232,5ffe3a85be37ce7aab2d4fd4
5ffe35eabe37ce5e01754c47,511111219385,TEST BRANDCODE @1610495466218,BAKING,False,test brand @1610495466218,5ffe35eabe37ce5e01754c45
5ffe347ebe37ce5e01754c3f,511111119326,TEST BRANDCODE @1610495102462,BAKING,False,test brand @1610495102462,5ffe347ebe37ce5e01754c3d
5ffe35eabe37ce5e01754c48,511111719397,TEST BRANDCODE @1610495466250,BAKING,False,test brand @1610495466250,5ffe35eabe37ce5e01754c45
57ebc28be4b0ac389136a344,511111501985,KRAFT MIRACLE WHIP,,False,Miracle Whip,559c2234e4b06aca36af13c6
58b59989e4b0857c2ddb7255,511111400998,,,False,Redd's Wicked,5332f709e4b03c9a25efd0f1
5f403232be37ce5f78d9ed19,511111015697,TEST BRANDCODE @1598042674173,CANDY_AND_SWEETS,False,test brand @1598042674173,5332fa12e4b03c9a25efd1e7
5f493e72be37ce64d0ae36c4,511111216094,TEST BRANDCODE @1598635634796,BAKING,False,test brand @1598635634796,5f493e72be37ce64d0ae36c2
5a5d257fe4b06ba572cf24a3,511111300212,SHEAF STOUT,,False,Sheaf Stout,5332f709e4b03c9a25efd0f1
585a963ce4b03e62d1ce0e78,511111001768,CHEETOS,,True,Cheetos,5332f5fbe4b03c9a25efd0ba
5fb82a68be37ce522e165ce6,511111217817,NATURES HARVEST,GROCERY,False,Nature's Harvest,5fb6b608be37ce522e165cb9
5d6415d5a3a018514994f429,511111605058,511111605058,,False,Health Magazine,5d5d4fd16d5f3b23d1bc7905
5332fa7ae4b03c9a25efd229,511111402961,,,False,Fanta,5332f5ebe4b03c9a25efd0a8
5f494c5e04db711dd8fe87e4,511111216148,TEST BRANDCODE @1598639198570,BAKING,False,test brand @1598639198570,5f494c5d04db711dd8fe87e2
5f772951be37ce6b592e90d0,511111316763,,BAKING,False,test brand @1601644881253,5f772951be37ce6b592e90cf
5f504ac2be37ce0b793c9415,511111616467,TEST BRANDCODE @1599097538609,BAKING,False,test brand @1599097538609,5f504ac2be37ce0b793c9411
5bd201cc965c7d66d92731ee,511111704706,SCOTT,,False,Scott,550b2565e4b001d5e9e4146f
5fd2a0bfbe37ce49eb72c0f1,511111218135,TEST BRANDCODE @1607639231674,BAKING,False,test brand @1607639231674,5fd2a0bfbe37ce49eb72c0ef
5daf3507a60b87376833e35c,511111505921,EPIC,,False,EPIC™,5332f5f3e4b03c9a25efd0ae
58861c7e4e8d0d20bc42c4de,511111901426,GROLSCH,,False,Grolsch Lager,5332f709e4b03c9a25efd0f1
5f9770c0be37ce03d08a2d88,511111417101,TEST BRANDCODE @1603760320407,CANDY_AND_SWEETS,False,test brand @1603760320407,5332fa12e4b03c9a25efd1e7
5a5e32c3e4b06ba572cf24aa,511111400042,MAGNUM,,False,Magnum,5332f709e4b03c9a25efd0f1
5f99f71bbe37ce13da9eade9,511111817147,TEST BRANDCODE @1603925787411,BAKING,False,test brand @1603925787411,5f99f71bbe37ce13da9eade6
5ffe35eabe37ce5e01754c4a,511111819417,TEST BRANDCODE @1610495466861,CANDY_AND_SWEETS,False,test brand @1610495466861,5332fa12e4b03c9a25efd1e7
5ffe3682be37ce5e01754c55,511111519430,,BAKING,False,test brand @1610495618015,5ffe3681be37ce5e01754c54
5ffe347ebe37ce5e01754c41,511111819349,TEST BRANDCODE @1610495102526,BAKING,False,test brand @1610495102526,5ffe347ebe37ce5e01754c3d
5ffe347ebe37ce5e01754c40,511111619338,TEST BRANDCODE @1610495102491,BAKING,False,test brand @1610495102491,5ffe347ebe37ce5e01754c3d
5ffe3480be37ce5e01754c44,511111519362,,BAKING,False,test brand @1610495104441,5ffe3480be37ce5e01754c43
5ffe35eabe37ce5e01754c46,511111019374,TEST BRANDCODE @1610495466175,BAKING,False,test brand @1610495466174,5ffe35eabe37ce5e01754c45
5ffe35f9be37ce5e01754c4c,511111019428,,BAKING,False,test brand @1610495481412,5ffe35f9be37ce5e01754c4b
5ffe347fbe37ce5e01754c42,511111319351,TEST BRANDCODE @1610495103255,CANDY_AND_SWEETS,False,test brand @1610495103255,5332fa12e4b03c9a25efd1e7
5ffe35eabe37ce5e01754c49,511111319405,TEST BRANDCODE @1610495466285,BAKING,False,test brand @1610495466285,5ffe35eabe37ce5e01754c45
5ff768e3be37ce1e961f32a0,511111118886,,BAKING,False,test brand @1610049763071,5ff768e3be37ce1e961f329f
